CrinRank,CrinValue,Model,CrinSignature,CrinComments,CrinTone,CrinTech,CrinDriver,CrinFit
A,2,Aurorus Borealis,Neutral,"Sounds like an odd mashup of the HD600 and the Clear, in a good way.",A+,A,Dynamic,Open Circumaural
A,1,HEDDphone,Warm neutral,"An interesting in-between of DD and estat timbre, though tuning around the lower midrange may be off.",A,A+,AMT,Open Circumaural
A,1,Nectar Hive,Bright neutral,"Some spiciness in the treble that is HD800-esque, but with a better midrange presentation.",A,A,Electrostatic,Open Circumaural
A,0,Hifiman Jade II,Bass-rolled neutral,"Suffers from typical estat timbre and bass extension issues, but otherwise a very resolving and well-tuned headphone.",A,S-,Electrostatic,Open Circumaural
A,0,"Stax SR-007
(Mk2.5)",Warm neutral,"Arguably the least wonky-sounding of the mainstream Staxes, with resolution just shy of the flagship 009.",A-,S+,Electrostatic,Open Circumaural
A-,2,Sennheiser HD600,Neutral,The legendary neutral reference. Slightly better clarity and imaging than the HD650.,S-,B+,Dynamic,Open Circumaural
A-,2,Audio Technica ATH-R70x,Warm neutral,Excellent imaging. Mostly neutral/flat tuning with an ever-so-slight tilt towards warmth.,A+,B+,Dynamic,Open Circumaural
A-,0,Hifiman Edition X V2,Neutral,Excellent tonal balance though limited by blunted notes and resolution.,S,B+,Planar,Open Circumaural
A-,0,Stax SR-Lambda Pro,Neutral,"One of the original Lambda models, and arguably the best tuned of the Lambda-styled Staxes.",B+,S-,Electrostatic,Open Circumaural
A+,1,Hifiman Arya,Bright neutral,High resolution planar that may be a little peaky in the treble for some.,A+,S-,Planar,Open Circumaural
A+,0,Focal Clear,Warm neutral,A decent Utopia alternative for thinner wallets. Slightly warmer sound may be more pleasant for some.,S-,A+,Dynamic,Open Circumaural
A+,0,Hifiman HE1000se,Bright neutral,Basically a brighter and slightly shoutier version of the OG; may be a little too intense for some.,A+,S-,Planar,Open Circumaural
A+,0,Hifiman Shangri-La Jr,Bright neutral,"A tad too shouty for my tastes, but far less offensive tonal characteristics than the average estat.",A,S,Electrostatic,Open Circumaural
B,3,Shure SRH440,Harman,Closest thing to Harman thus far. Comes with a small upper treble spike and lacking raw resolution.,S-,C+,Dynamic,Closed Circumaural
B,2,AKG K371,Harman,"Expectedly Harman tuning but lacks a bit of bite in the upper midrange for ""true Harman"".",A,B-,Dynamic,Closed Circumaural
B,2,Hifiman HE400i (2020),Neutral,Well-executed reference-ish tuning with a slight treble emphasis.,B,B,Planar,Open Circumaural
B,1,AKG K701,Bright neutral,"The brightest and arguably harshest of the K7-- lineup, but still very competent overall.",A-,B,Dynamic,Open Circumaural
B,1,Sennheiser HD560S,Neutral,"Well-balanced tonality with good bass extension, just slightly hot in the upper-mids and treble.",A,B-,Dynamic,Open Circumaural
B,1,Hifiman Deva,Neutral,"Probably the most ""mellow"" of the Hifiman planars with the least resolving ability.",S-,C+,Planar,Open Circumaural
B,1,Sennheiser HD660S,Warm neutral,An even darker HD6X0. A comparatively muffled mess just barely propped up by its decent resolving ability.,B,B+,Dynamic,Open Circumaural
B,1,"Beyerdynamic DT880 Pro
(32Ω)",Warm V-shape,"Certainly a ""mini-HD800"" in terms of tonality only, however still far inferior in technical ability.",B+,B,Dynamic,Open Circumaural
B,1,HarmonicDyne Zeus,Warm,A rare combination of a warm-focused tonality with decent technicalities.,B+,B,Dynamic,Open Circumaural
B,1,Sennheiser Momentum 3 Wireless,U-shaped,A massive improvement over its predecessor. Limited resolution and potentially intense tonality.,A-,B-,Dynamic,Closed Circumaural
B,1,"Beyerdynamic DT990 Pro
(250Ω)",V-shaped,Pretty bog-standard V-shaped response with forward upper-midrange and decently high resolution.,B,B,Dynamic,Open Circumaural
B,1,Beyerdynamic TYGR 300 R,V-shaped,Very reminiscent of the DT990.,B,B,Dynamic,Open Circumaural
B,0,Stax SR-L300,Neutral,"Generally pleasing tuning, though a little honky and fatiguing in the treble.",B,A-,Electrostatic,Open Circumaural
B,0,"ZMF Aeolus
(Pref. suede Universe pads)",Bright neutral,"Tonally, a vast improvement over the Aeolus with stock pads, bringing in extra clarity and bite.",B,A-,Dynamic,Open Circumaural
B,0,Hifiman HE6se,Neutral,Comes with an odd midrange dip. It's no HE6 replacement for sure.,B-,A,Planar,Open Circumaural
B,0,"Hifiman HE560
(V1)",Neutral,"Slight wonkiness around the lower midrange, but otherwise a capable planar headphone.",B-,A,Planar,Open Circumaural
B,0,Final D8000 Pro,Bright,"Highly resolving headphone with solid imaging capabilities, limited by its somewhat wonky tonality.",B-,A,Planar,Open Circumaural
B,0,Final Audio D8000,Bright,High treble-to-midrange contrast makes things sound shrill and borderline-sibilant.,B-,A,Planar,Open Circumaural
B,0,RAAL-requisite SR1a,Neutral,"Weak, limp bass is the killing blow for what is an otherwise highly resolving and decently-tuned earspeaker.",B-,A,Ribbon,Earspeaker
B,0,Focal Stellia,Neutral with bass boost,"""Harman-inspired"" tuning works decently well, though a myriad of small quirks ultimately screws its tonal balance.",C+,S-,Dynamic,Closed Circumaural
B,0,Stax SR-L700,Neutral,"Probably the most balanced tuning of the L-series, with the usual e-stat technicalities.",C+,S-,Electrostatic,Open Circumaural
B,0,"ZMF Verite Closed
(Hybrid Universe pads)",Neutral with bass boost,"Far more tonally balanced than its open counterpart, whilst retaining its reverberant staging.",C+,S-,Dynamic,Closed Circumaural
B,0,Audio Technica ATH-ADX5000,Bright neutral,"Clean, open sound reminsicent of the HD800, with a bit of midbass bloat and upper midrange shoutiness.",C+,S-,Dynamic,Open Circumaural
B,0,Stax SR-L300 Limited,Neutral,Honkier version of the standard L300.,C+,S-,Electrostatic,Open Circumaural
B,0,"Sony MDR-SA5000
(w/ AliExpress replacement pads)",Bass-rolled neutral,Surprisingly competent for a decades-old set. Midrange is a little uneven but beats out many other modern TOTLs.,B,B+,Dynamic,Open Circumaural
B,0,Hifiman HE5,Neutral,The original Hifiman. Midrange is a little too scooped out but remains competitive even today.,B+,B,Planar,Open Circumaural
B,0,Denon AH-D5000,V-shaped,"The usual ""Foster biodyna dynamics"" are at play here, with a somewhat fatiguing treble spike.",B,B+,Dynamic,Semi-open Circumaural
B,0,Kennerton Odin,Warm neutral,"Generally ""okay"" tonality with some odd dips here and there. Lacking serious extension for a planar.",B+,B,Planar,Open Circumaural
B,0,Kennerton Thror,Warm neutral,"Kind of a ""nothing headphone""; not bad, not great, just good enough to be okay.",B+,B,Planar,Open Circumaural
B,0,Focal Radiance,Harman neutral,"Probably the best of the closed-back Focals. Some tuning refinements over the Stellia, though technically limited.",B+,B,Dynamic,Closed Circumaural
B,0,Focal Clear Mg,Warm neutral,Lacks upper mids and resolution compared to its predecessor.,B-,A-,Dynamic,Open Circumaural
B,0,Audeze LCD-XC,"""Balanced""","Definitely the least Audeze-sounding Audeze. A little quirky tonally, but nothing too offensive.",B-,A-,Planar,Closed Circumaural
B,0,Focal Elear,Warm neutral,Subdued upper midrange with the odd treble spike makes this a weird headphone to listen to.,B-,A-,Dynamic,Open Circumaural
B,0,Meze Empyrean,Warm,Bland and unexciting tuning with compressed staging and generally underperforming technicalities.,B,B,Planar,Open Circumaural
B-,3,Koss KSC75,Bass-rolled neutral,Non-existent sub-bass and poor resolution. But it's so well-tuned you may not even care.,A,C,Dynamic,Open Clip-on
B-,1,Sivga Phoenix,Warm neutral,A fairly competent warm-neutral monitor slightly held back by limited detail retrieval.,B+,B-,Dynamic,Open Circumaural
B-,1,Audio Technica ATH-M70x,Neutral,The most neutral of the M-series. Good tonality but still suffers from narrow imaging.,B,B-,Dynamic,Closed Circumaural
