Rank,Value Rating,Model,MSRP,Signature,Comments,Tone Grade,Technical Grade,Driver Type,Fit/Cup Type
A,2,Aurorus Borealis,$900,Neutral,"Sounds like an odd mashup of the HD600 and the Clear, in a good way.",A+,A,Dynamic,Open Circumaural
A,1,HEDDphone,"$1,900",Warm neutral,"An interesting in-between of DD and estat timbre, though tuning around the lower midrange may be off.",A,A+,AMT,Open Circumaural
A,1,Nectar Hive,"600+975
(SRM-353X)",Bright neutral,"Some spiciness in the treble that is HD800-esque, but with a better midrange presentation.",A,A,Electrostatic,Open Circumaural
A,0,Hifiman Jade II,"$2,500",Bass-rolled neutral,"Suffers from typical estat timbre and bass extension issues, but otherwise a very resolving and well-tuned headphone.",A,S-,Electrostatic,Open Circumaural
A,0,"Stax SR-007
(Mk2.5)","2100+975
(SRM-353X)",Warm neutral,"Arguably the least wonky-sounding of the mainstream Staxes, with resolution just shy of the flagship 009.",A-,S+,Electrostatic,Open Circumaural
A-,2,Sennheiser HD600,$400,Neutral,The legendary neutral reference. Slightly better clarity and imaging than the HD650.,S-,B+,Dynamic,Open Circumaural
A-,2,Audio Technica ATH-R70x,$350,Warm neutral,Excellent imaging. Mostly neutral/flat tuning with an ever-so-slight tilt towards warmth.,A+,B+,Dynamic,Open Circumaural
A-,0,Hifiman Edition X V2,"1300
(Edition X V2)",Neutral,Excellent tonal balance though limited by blunted notes and resolution.,S,B+,Planar,Open Circumaural
A-,0,Stax SR-Lambda Pro,"700
(SR-Lambda Pro)",Neutral,"One of the original Lambda models, and arguably the best tuned of the Lambda-styled Staxes.",B+,S-,Electrostatic,Open Circumaural
A+,1,Hifiman Arya,"$1,600",Bright neutral,High resolution planar that may be a little peaky in the treble for some.,A+,S-,Planar,Open Circumaural
A+,0,Focal Clear,"Discontinued
1500
(Replaced by Clear Mg)",Warm neutral,A decent Utopia alternative for thinner wallets. Slightly warmer sound may be more pleasant for some.,S-,A+,Dynamic,Open Circumaural
A+,0,Hifiman HE1000se,"$3,500",Bright neutral,Basically a brighter and slightly shoutier version of the OG; may be a little too intense for some.,A+,S-,Planar,Open Circumaural
A+,0,Hifiman Shangri-La Jr,"$8,000",Bright neutral,"A tad too shouty for my tastes, but far less offensive tonal characteristics than the average estat.",A,S,Electrostatic,Open Circumaural
B,3,Shure SRH440,$100,Harman,Closest thing to Harman thus far. Comes with a small upper treble spike and lacking raw resolution.,S-,C+,Dynamic,Closed Circumaural
B,2,AKG K371,$150,Harman,"Expectedly Harman tuning but lacks a bit of bite in the upper midrange for ""true Harman"".",A,B-,Dynamic,Closed Circumaural
B,2,Hifiman HE400i (2020),$170,Neutral,Well-executed reference-ish tuning with a slight treble emphasis.,B,B,Planar,Open Circumaural
B,1,AKG K701,$450,Bright neutral,"The brightest and arguably harshest of the K7-- lineup, but still very competent overall.",A-,B,Dynamic,Open Circumaural
B,1,Sennheiser HD560S,$200,Neutral,"Well-balanced tonality with good bass extension, just slightly hot in the upper-mids and treble.",A,B-,Dynamic,Open Circumaural
B,1,Hifiman Deva,$300,Neutral,"Probably the most ""mellow"" of the Hifiman planars with the least resolving ability.",S-,C+,Planar,Open Circumaural
B,1,Sennheiser HD660S,$400,Warm neutral,An even darker HD6X0. A comparatively muffled mess just barely propped up by its decent resolving ability.,B,B+,Dynamic,Open Circumaural
B,1,"Beyerdynamic DT880 Pro
(32Ω)",$350,Warm V-shape,"Certainly a ""mini-HD800"" in terms of tonality only, however still far inferior in technical ability.",B+,B,Dynamic,Open Circumaural
B,1,HarmonicDyne Zeus,$350,Warm,A rare combination of a warm-focused tonality with decent technicalities.,B+,B,Dynamic,Open Circumaural
B,1,Sennheiser Momentum 3 Wireless,$350,U-shaped,A massive improvement over its predecessor. Limited resolution and potentially intense tonality.,A-,B-,Dynamic,Closed Circumaural
B,1,"Beyerdynamic DT990 Pro
(250Ω)",$200,V-shaped,Pretty bog-standard V-shaped response with forward upper-midrange and decently high resolution.,B,B,Dynamic,Open Circumaural
B,1,Beyerdynamic TYGR 300 R,$200,V-shaped,Very reminiscent of the DT990.,B,B,Dynamic,Open Circumaural
