Rank,Value Rating,Model,MSRP,Signature,Comments,Tone Grade,Technical Grade,Driver Type
A,3,7Hz Timeless,220,Neutral with bass boost,"Easily the best-tuned planar IEM by a country mile, the Timeless is also no slouch on the technical front.",A,A,Planar
A,2,ThieAudio Oracle,540,Neutral with bass boost,Functionally similar to the Clairvoyance with slight cutbacks in overall clarity and resolution.,S,A-,2EST 2BA 1DD
A,1,Softears RSV,730,Neutral with bass boost,"Very well-balanced tonality with surprisingly good timbre, though slightly lacking definition.",S,A-,5BA
A,1,Symphonium Helios,1100,Neutral with bass boost,,A,A,4BA
A,0,ThieAudio Monarch,Discont.,Neutral with bass boost,Neutral with bass boost,S-,A,2EST 6BA 1DD
A,0,Moondrop S8,Discont.,U-shaped,"More faithful to the Harman target compared to the A8, with a smoother bass response.",S-,A,8BA
A,0,StereoPravda SB7,2500,Bright neutral,Technically proficient but marred by a sharp timbre. Interesting concept.,A-,S,7BA
A,0,64 Audio A/U12t,2000,Neutral with bass boost,"Amazing bass (for a BA), top-tier resolution and detail-oriented signature.",A,A+,12BA
A,0,Hidition Violet,3300,Neutral with bass boost,"Strong sub-bass presence, slightly cut-back upper mids. A fun IEM through and through.",A,A+,11BA
A,0,Empire Ears Odin,3400,Mild V-shape,A Legend X with the bass properly controlled and the resolution one step higher.,A,A+,4EST 5BA 2DD
A,0,Vision Ears Erlkonig,4800,Variable,"Good tonality, high resolution and an overall decent all-rounder.",A,A+,13BA
A,0,Moondrop Blessing 2,Discont.,Mild V-shape,"Very well tuned from bass to treble, perhaps lacking in the last octaves of extension.",A+,A,4BA 1DD
A,0,Elysian X,4600,V-shaped,,A-,S-,4EST 4BA 1DD
A,0,DUNU Talos,Discont.,Bright neutral,,A,A,1Planar 2BA
A,0,Elysian Diva,1600,U-shaped,,A,A,6BA
A,0,Moondrop A8,Discont.,V-shaped,"An odd but surprisingly decent take on the Harman signature, with added midbass compared to the S8.",A,A,8BA
A,0,qdc Anole V14,2740,Variable,"Rather bassy even in stock form; fun and engaging, though at the expense of sheer technical performance.",A,A,4EST 10BA
A-,3,Tangzu Zetian Wu,150,Neutral with bass boost,,A-,A-,Planar
A-,1,Kumitate KL-Sirius,815,Neutral,"Excellent technical ability, well tuned with a dash of Japanese flavour.",A,A-,4BA
A-,1,DUNU Vulkan,380,U-shaped,,A+,B+,4BA 2DD
A-,1,Etymotic ER4XR,350,Neutral,A more mainstream tuning of the ER4S/SR with slightly boosted bass.,A-,A-,BA
A-,1,Sony IER-M7,500,Warm neutral,"Balanced across the board, though doesn't seem to excel in any particular area.",A-,A-,4BA
A-,0,Vision Ears Elysium,3200,Mild V-shape,First decent implementation of Sonion's EST tweeters.,A-,A+,2EST 1BA 1DD
A-,0,Kiwi Ears Orchestra,Discont.,Mild V-shape,Very well-tuned reference-y signature with a mild bass and treble emphasis for added energy.,A+,A-,8BA
A-,0,Ultimate Ears Reference Monitor (UERM),Discont.,Neutral,"The benchmark of an era, dead-flat with an upper treble boost",A+,A-,3BA
A-,0,ThieAudio Clairvoyance,Discont.,Neutral with bass boost,"Inoffensive, pleasant tuning specialising in extremely balanced tonality and bass control.",S,B+,2EST 5BA 1DD
A-,0,JVC HA-FW10000,2200,Bright neutral,Intense and shouty DF-style signature with solid resolution.,B+,S-,DD
A-,0,Softears Twilight,930,V-shaped,,A-,A,DD
A-,0,Sony IER-M9,1000,Warm neutral,"Neutral tonality, highly coherent and decent detail pickup. The all-rounder of the IER lineup.",A-,A,5BA
A-,0,qdc 8SS,1450,Neutral,"The neutral ""studio monitor"" of qdc's 8-series of IEMs, lacking a bit in overall extension.",A-,A,8BA
A-,0,Hidition NT8,1850,Neutral,Coloured neutral kind of sound that works better with Asian genres.,A-,A,8BA
A-,0,Drop + JVC HA-FDX1,Discont.,Neutral,"Highly technical sound with a clean, well-tuned neutral signature.",A,A-,DD
A-,0,Moondrop Blessing,Discont.,Bright neutral,All rounder that comes the closest to the Harman Target.,A,A-,4BA 1DD
A-,0,PEARS SH3,1100,Neutral,"Great detail pickup and solid all-rounder, perhaps a little strident.",A,A-,3BA
A-,0,Empire Ears ESR Mk2,1100,Warm neutral,Possibly the most pleasant-sounding of the Empire Ears lineup with decent detailing to boot.,A,A-,2EST 3BA
A-,0,Kumitate KL-Focus,1600,U-shaped,"Selectable bass response with the rest of the FR following a more ""Japanese reference"" tuning.",A,A-,5BA
A-,0,64 Audio Tia Trio,2300,Neutral with bass boost,A more correct sounding version of the Fourte with slight cutbacks in staging and sheer resolution.,A,A-,2BA 1DD
A-,0,Softears Turii,1400,Mild V-shape,Resolving and fairly well-tuned dynamic-driver IEM.,B+,A+,DD
A-,0,64 Audio A/U18 Tzar,3000,Warm neutral,"A rather simple and ""mainstream"" tuning refined to a high level.",B+,A+,18BA
A-,0,64 Audio Nio,1700,Variable,"A decent bassy set with the m15/m20 modules, but really shines with the mX modules.",A+,B+,8BA 1DD
A-,0,Hidition Waltz,900,Mild V-shape,Neutral-fun signature that works both as a reference monitor and a rock-out IEM.,A+,B+,3BA
A-,0,Shure KSE1200,2000,Bright U-shape,"Easily at the top in terms of resolution and definition, but comes with a big treble spike and slightly odd mids.",B,S+,Electrostatic
A-,0,ThieAudio Excalibur,Discont.,V-shaped,"Probably the weakest of the ThieAudio tribrids, but still great on its own.",A-,A-,2EST 2BA 1DD
A-,0,Lime Ears Model X,1000,Variable,Technically capable IEM that goes from decently neutral to warm and smooth in a pinch.,A-,A-,4BA
A-,0,See Audio Neo,1100,Neutral with bass boost,Well-balanced tonality with good resolution; emphasised bass with good control.,A-,A-,10BA
A-,0,InEar SD5,1100,Warm V-shape,Excels in timbre reproduction and has an overall pleasant signature.,A-,A-,5BA
A-,0,Noble K10 Encore,1850,Neutral,Reference oriented sound focused on technicalities.,A-,A-,10BA
A-,0,Noble Katana,1850,Neutral with laid-back treble,"Like the K10, except with less bass.",A-,A-,9BA
A-,0,Elysian Poseidon,1940,Neutral with bass boost,"Good, inoffensive midrange tone and bass tuning, marred by the lack of low-level detailing.",A-,A-,6BA 1DD
A-,0,Empire Ears Legend X,2300,V-shaped,High resolution hybrid flawed only by lack of control in the bass regions.,A-,A-,5BA 2DD
A-,0,Vision Ears VE8,2700,Warm neutral,Extremely coherent signature with a pleasing tuning and high technicalities.,A-,A-,8BA
A-,0,Vision Ears EXT,3000,U-shaped,,A-,A-,2EST 2DD
A-,0,Empire Ears Legend X SE,3250,V-shaped,"A more upper-mid-forward variation of the original Legend X, which could come off as slightly more mid-recessed.",A-,A-,5BA 2DD
A-,0,Massdrop x Noble K10,Discont.,Neutral with bass boost,"Very safe tuning, almost to the point of boredom. Does nothing wrong but nothing right either.",A-,A-,10BA
A-,0,Etymotic ER4B,Discont.,Bright neutral,,A-,A-,BA
A+,3,Moondrop Variations,520,U-shaped,Sub-bass-focused signature with Moondrop's clean tuning makes this one of the best $500 tribrids.,S,A,2EST 2BA 1DD
A+,2,Sennheiser IE600,700,U-shaped,"Well-tuned mids, powerful yet controlled sub-bass, with highly extended (and somewhat spicy) treble.",A+,A+,DD
A+,1,Softears RS10,2100,U-shaped,A little shouty and intense but very resolving and well-defined. A somewhat refined Moondrop S8.,A+,S,10BA
A+,1,Sony IER-Z1R,1700,Mild V-shape,"Extended yet natural treble, realistic sub-bass focus and spacious imaging capabilities.",A+,S-,1BA 2DD
A+,1,ThieAudio V16 Divinity,1500,Neutral with bass boost,,S-,A+,16BA
A+,1,Hidition NT6,1050,Neutral,"If Etymotic made a multi-BA IEM, this would be the closest to that dream",S-,A+,6BA
A+,1,qdc 8SL/Gemini/Anole VX,"1410 (8SL)
2180 (Gemini)
2560 (Anole VX)",Mild V-shape,Reference tuning with good tonality and top-level resolution. Similar tunings across top tier models.,A,S,8/10BA
A+,0,Oriolus Traillii,6000,Neutral with bass boost,,A+,A+,4EST 8BA
B,3,DUNU Titan S,80,Mild V-shape,,A-,B,DD
B,3,Moondrop Chu,20,Neutral,An extremely well-tuned neutral IEM with a slightly bright and metallic tilt.,A+,C+,DD
B,3,"Lypertek PurePlay Z3 2.0
(PurePlay Z3)
(Tevi)",90,Neutral with bass boost,Probably the closest thing to an ER2XR in TWS form.,A,C+,DD
B,2,Samsung Galaxy Buds,130,Neutral,A surprisingly well-tuned TWS with the technical chops to boot.,A-,B,DD
B,2,Tanchjim New Hana (2021),180,Mild V-shape,,B+,B,DD
B,1,JVC HA-FD01,300,Bright V-shape,"Upper-mid forward signature can get a little shouty, but a decently technical DD still.",B,A-,DD
B,1,JVC HA-FD02,300,Bright V-shape,"Upper-mid forward signature can get a little shouty, but a decently technical DD still.",B,A-,DD
B,1,FAudio Minor,520,Mild V-shape,"Well-balanced tonality and tuning, held back by middling technicalities.",A-,B,DD
B,1,Tanchjim Darling,420,Bright V-shape,A tad shouty but with excellent imaging performance.,B,B+,2BA 1DD
B,1,Audiosense DT600,250,Neutral with bass boost,,B+,B,6BA
B,1,Libratone Track Air Plus,250,Neutral with bass boost,Deep and focused sub-bass response with a surprisingly balanced midrange tonality.,A+,C+,2DD
B,1,FiiO FH5,260,Neutral with bass boost,"Stellar bass response and decent technical ability, not much to fault.",B,B,3BA 1DD
B,1,Sennheiser IE300,300,V-shaped,Fairly mainstream tuning with a treble response that's well done given its emphasis.,B,B,DD
B,0,DUNU SA6,550,Neutral with bass boost,"Tonality reminiscent of the Anole VX, though not up to the same level of technicalities.",B,A-,6BA
B,0,"Tansio Mirai TSMR-12 ""Zodiac""",1330,Neutral,"Very clean, monitor/reference-style sound.",B,A-,12BA
B,0,Acoustune HS1650,650,V-shaped,Well textured and energetic with a sub-bass focus.,B,A-,DD
B,0,Acoustune HS1670,800,V-shaped,Metallic and shrill timbre makes this hard to enjoy.,B,A-,DD
B,0,ThieAudio Voyager 14 (V14),1000,Neutral,"Evokes a qdc-ish house sound, though stumbles in both tuning refinement and technicalities.",B,A-,14BA
B,0,Fearless Lancelot,1300,Warm,Rather generic tuning with no redeeming qualities for its price and status.,B,A-,2EST 6BA
B,0,Acoustune HS1695Ti,Discont.,U-shaped,Sub-bass focused emphasis balanced out by midtreble peaks.,B,A-,DD
B,0,Moondrop Aria,Discont.,Mild V-shape,A cheaper Starfield.,A-,B,DD
B,0,Moondrop Starfield,Discont.,Mild V-shape,A cheaper KXXS.,A-,B,DD
B,0,Moondrop KXXS,Discont.,Mild V-shape,Well-tuned single DD with proper timbre and decent technicalities.,A-,B,DD
B,0,Aya Siren,600,Neutral,"Very neutral, very well-tuned, though not very snappy in the treble.",A-,B,2EST 4BA
B,0,Shuoer x HBB EJ07M Kinda Lava Edition,670,Mild V-shape,,A-,B,4EST 2BA 1DD
B,0,Unique Melody Martian,700,Neutral with bass boost,Well-tuned hybrid with excellent bass response and smooth midrange.,A-,B,2BA 2DD
B,0,Fatfreq Sakura,950,Neutral,,A-,B,6BA
B,0,HYLA TE-5T,1300,Bright U-shape,"Very Japanese-sounding with a massive upper harmonic focus, too much for many genres.",B-,A,1Piezo 2BA 1DD
B,0,Unique Melody Maestro V2,2000,"""Balanced""",It's... there. An IEM that exists. Hard to find words for this one.,B-,A,12BA
B,0,Final Audio A8000,2000,Bright V-shape,Technically strong but going too far with the treble emphasis.,B-,A,DD
B,0,Oriolus Percivali,2000,Neutral with bass boost,Lacking body and very thin in the notes. Not recommended for sub-tenor instruments.,B-,A,2EST 2BA 1DD
B,0,Oriolus Mellianus,2400,Mild V-shape,"Thin and sterile signature that isn't the most natural, but still technically proficient.",B-,A,10BA
B,0,Jomo Trinity Brass,2800,Warm,"The warmer of the Trinity models, sacrificing technical ability for a more pleasing and smoother tone.",B-,A,2EST 4BA 1DD
B,0,Jomo Samba,Discont.,V-shaped,"Lively and engaging with big clarity and detail, perhaps too much for some",B-,A,8BA
B,0,Moondrop Solis,1100,Warm neutral,A good implementation of the EST drivers with Moondrop's signature tuning specialties.,A,B-,4BA 2EST
B,0,Prisma Azul,Discont.,Neutral,A well-balanced neutral monitor bottlenecked by sheer resolution and narrow imaging performance.,A,B-,2BA
B,0,SeeAudio Miu,650,U-shaped,,A,B-,2EST 2BA 1DD
B,0,DUNU Luna,1700,Mid-centric,Needs more work on the tuning front.,C+,S-,DD
B,0,Dita Dream,1800,V-shaped,Excellent resolution and detail let down by its metallic tonality and thin midrange,C+,S-,DD
B,0,See Audio Yume,Discont.,Neutral with bass boost,"Excellent tuning with impeccable bass control, though with mushy transients and lacking detail.",S-,C+,2BA 1DD
B,0,Fearless S8F/S8Pro,490,V-shaped,Tonally pleasing V-shaped signature on a solid technical foundation.,B,B+,8BA
B,0,Acoustune HS1750,600,V-shaped,,B,B+,DD
B,0,AAW ASH,800,Warm neutral,Smooth tonal balance with decent technicalities.,B,B+,6BA 1DD
B,0,qdc Anole V6,1100,Variable,The more mid-centric of the Anole brothers. Better technicalities but worse timbre.,B,B+,6BA
B,0,Campfire Andromeda (2020),1100,Warm neutral,Basically an Andromeda without the treble spike and slightly boosted midrange.,B,B+,5BA
B,0,Campfire Andromeda (S),1100,Warm U-shape,"Highly coherent, easy-to-love tuning and spacious headstage",B,B+,5BA
B,0,See Audio Kaguya,1400,U-shaped,"Somewhat mid-scooped, decent bass and treble extension though with underwhelming resolving ability.",B,B+,4EST 4BA
B,0,Softears Cerberus,2100,Dark neutral,"Lacking definition in the treble, otherwise a decently balanced tribrid IEM.",B,B+,2EST 4BA 1DD
B,0,Ultimate Ears UE4 Pro,Discont.,Neutral,Pretty much a mini-UE7.,B,B+,2BA
B,0,A&K T8iE,Discont.,Neutral with bass boost,Hard-to-dislike tuning with excellent clarity and resolution.,B,B+,DD
B,0,Samsung Galaxy Buds+,Discont.,U-shaped,Tuned even closer to the Harman IE target compared to the original.,B+,B,2DD
B,0,Etymotic ER4PT,Discont.,Warm neutral,"Slightly rolled off treble with good detail and resolution, though imaging is too two-dimensional.",B+,B,BA
B,0,DUNU EST 112,490,Neutral,"Good tonality, though the treble extension is its big Achille's Heel.",B+,B,2EST 1BA 1DD
B,0,XENNS UP,700,Neutral with bass boost,,B+,B,2EST 4BA 1DD
B,0,Shuoer EJ07,850,Dark neutral,Tuned almost Etymotic-like but with underwhelming treble extension bottlenecking it all.,B+,B,4EST 2BA 1DD
B,0,Oriolus Isabellae,600,Mild V-shape,,B+,B,DD
B,0,Fatfreq Tsuru,800,Bright neutral,,B+,B,3BA
B,0,DUNU Zen Pro,900,V-shaped,,B+,B,DD
B,0,Fatfreq Hayabusa,1320,Mild V-shape,,B+,B,8BA
B,0,Empire Ears Hero,1350,U-shaped,Well-controlled bass emphasis with a less-well-controlled treble emphasis makes this hard to appreciate.,B-,A-,3BA 1DD
B,0,ThieAudio Legacy 4 (L4),Discont.,Neutral with bass boost,Well-tuned if technically lacking in comparison. Could use some more power in the bass.,A-,B-,3BA 1DD
B,0,Moondrop Kanas Pro,Discont.,Warm V-shape,"Somewhat Harman-esque in tuning, not the best in terms of resolution.",A-,B-,DD
B,0,Unique Melody Merlin V2,1000,Warm neutral,"Very tasteful and coherent tuning, if lacking in sheer resolution.",A-,B-,4BA 1DD
B,0,64 Audio A6t,1300,Warm,"Very warm and intimate presentation, though overall tonal balance is somewhat preserved.",A-,B-,6BA
B,0,Audiosense DT200,Discont.,Neutral,Excellent tonality. Just excellent tuning overall.,A+,C+,2BA
B,0,Truthear Hola,Discont.,Warm neutral,,A+,C+,DD
B,0,64 Audio tia Fourte,3600,W-shaped,"Unique sound; high clarity and bass response with immensely wide staging, held back by a wonky tonality.",C+,A,3BA 1DD
B,0,64 Audio tia Fourte Noir,3800,W-shaped,A bassier and warmer Fourte though also strangely sharper and less technical.,C+,A,3BA 1DD
B,0,Sony MDR-EX1000,Discont.,Bright neutral,Outstanding imaging and detail retrieval though can be intense to listen to.,C+,A,DD
B,0,Dita Sakura 71,Discont.,V-shaped,Very upper-mid forward. Would appreciate the shout being dialed way down.,C+,A,DD
B,0,Sony XBA-N3,Discont.,Neutral with bass boost,Exceptional tonal balance only limited by its slightly smoothed over definition,A,C+,1BA 1DD
B,0,Kumitate KL-Corona,650,Neutral,Well-tuned with somewhat disappointing technical performance.,A,C+,3BA
B,0,Moondrop Crescent,Discont.,Neutral with bass boost,Well-executed V-ish signature that's neither harsh nor bloated.,A,C+,DD
B,0,Tanchjim Prism,600,V-shaped,,B,B,2BA 1DD
B,0,FiiO FH9,600,Mild V-shape,,B,B,6BA 1DD
B,0,Yanyin Moonlight,650,Neutral with bass boost,,B,B,2EST 4BA 1DD
B,0,Aya Trident,800,U-shaped,"Somewhat strange tuning that seems to try to do everything, but results in a slightly wonky tonality.",B,B,4EST 4BA
B,0,Moondrop Illumination,800,Warm neutral,"Well-tuned with natural timbre, ultimately marred by subpar detail retrieval and definition.",B,B,DD
B,0,FiiO FD7,600,V-shaped,,B,B,DD
B,0,Fearless La Hire,610,Neutral,Well-tuned neutral-style monitor with subpar treble extension.,B,B,2EST 2BA
B,0,Yanyin x HBB Mahina,650,Neutral with bass boost,,B,B,2EST 4BA 1DD
B,0,iBasso IT07,900,U-shaped,"More similar to its predecessor the IT04, with more bass and less treble.",B,B,6BA 1DD
B,0,qdc 5SH,900,V-shaped,"Fun, lively signature that retains high levels of performance.",B,B,5BA
B,0,Kinera Nanna 2.0,900,V-shaped,Bass is a tad uncontrolled and the mids could use more refinement. The original is arguably superior.,B,B,2EST 1BA 1DD
B,0,Symphonium Triton,900,Neutral,,B,B,2BA 1DD
B,0,AKG N5005,1000,Neutral with bass boost,Amazing bass control only let down by plastic timbre.,B,B,4BA 1DD
B,0,Unique Melody Mirage,1100,Mild V-shape,"Tonally-balanced, technically acceptable, nothing much to criticise though no big praises either.",B,B,3BA
B,0,Empire Ears Vantage,1400,V-shaped,"A Legend-X-mini, essentially. Nice alternative on a ""budget"".",B,B,1BA 2DD
