Model,CrinRank,CrinValue,CrinTone,CrinTech,CrinSignature,CrinComments,CrinDriver,CrinFit
Aurorus Borealis,A,2,A+,A,Neutral,"Sounds like an odd mashup of the HD600 and the Clear, in a good way.",Dynamic,Open Circumaural
HEDDphone,A,1,A,A+,Warm neutral,"An interesting in-between of DD and estat timbre, though tuning around the lower midrange may be off.",AMT,Open Circumaural
Nectar Hive,A,1,A,A,Bright neutral,"Some spiciness in the treble that is HD800-esque, but with a better midrange presentation.",Electrostatic,Open Circumaural
Hifiman Jade II,A,0,A,S-,Bass-rolled neutral,"Suffers from typical estat timbre and bass extension issues, but otherwise a very resolving and well-tuned headphone.",Electrostatic,Open Circumaural
"Stax SR-007
(Mk2.5)",A,0,A-,S+,Warm neutral,"Arguably the least wonky-sounding of the mainstream Staxes, with resolution just shy of the flagship 009.",Electrostatic,Open Circumaural
Sennheiser HD600,A-,2,S-,B+,Neutral,The legendary neutral reference. Slightly better clarity and imaging than the HD650.,Dynamic,Open Circumaural
Audio Technica ATH-R70x,A-,2,A+,B+,Warm neutral,Excellent imaging. Mostly neutral/flat tuning with an ever-so-slight tilt towards warmth.,Dynamic,Open Circumaural
Hifiman Edition X V2,A-,0,S,B+,Neutral,Excellent tonal balance though limited by blunted notes and resolution.,Planar,Open Circumaural
Stax SR-Lambda Pro,A-,0,B+,S-,Neutral,"One of the original Lambda models, and arguably the best tuned of the Lambda-styled Staxes.",Electrostatic,Open Circumaural
Hifiman Arya,A+,1,A+,S-,Bright neutral,High resolution planar that may be a little peaky in the treble for some.,Planar,Open Circumaural
Focal Clear,A+,0,S-,A+,Warm neutral,A decent Utopia alternative for thinner wallets. Slightly warmer sound may be more pleasant for some.,Dynamic,Open Circumaural
Hifiman HE1000se,A+,0,A+,S-,Bright neutral,Basically a brighter and slightly shoutier version of the OG; may be a little too intense for some.,Planar,Open Circumaural
Hifiman Shangri-La Jr,A+,0,A,S,Bright neutral,"A tad too shouty for my tastes, but far less offensive tonal characteristics than the average estat.",Electrostatic,Open Circumaural
Shure SRH440,B,3,S-,C+,Harman,Closest thing to Harman thus far. Comes with a small upper treble spike and lacking raw resolution.,Dynamic,Closed Circumaural
AKG K371,B,2,A,B-,Harman,"Expectedly Harman tuning but lacks a bit of bite in the upper midrange for ""true Harman"".",Dynamic,Closed Circumaural
Hifiman HE400i (2020),B,2,B,B,Neutral,Well-executed reference-ish tuning with a slight treble emphasis.,Planar,Open Circumaural
AKG K701,B,1,A-,B,Bright neutral,"The brightest and arguably harshest of the K7-- lineup, but still very competent overall.",Dynamic,Open Circumaural
Sennheiser HD560S,B,1,A,B-,Neutral,"Well-balanced tonality with good bass extension, just slightly hot in the upper-mids and treble.",Dynamic,Open Circumaural
