ID,Brand,Model,Category,Search Query,Manufacturer URL,Notes
e5b0afb6-111c-4dc3-a5d8-3a1ec07cc9fd,Audio Technica,ATH-ADX5000,cans,"""Audio Technica ATH-ADX5000"" site:audio-technica.com",,
0bdcf201-997f-44de-ac04-c5005102890b,FatFreq,Grand Maestro,iems,"""FatFreq Grand Maestro"" official product page",,
bd53718a-7081-4cc9-8724-9906eb8c4888,qdc,Anole V14,iems,"""qdc Anole V14"" official product page",,
cf2a2c98-1a23-4341-bba6-07adcfc65d29,Thieaudio,Valhalla,iems,"""Thieaudio Valhalla"" site:linsoul.com",,
e72288e4-6142-4703-abb9-c4faa3723a0d,Hidition,Violet,iems,"""Hidition Violet"" official product page",,
5280a304-f3fe-4b31-a3eb-ec5af40692f7,ThieAudio,Excalibur,iems,"""ThieAudio Excalibur"" official product page",,
a65899b7-72e5-4689-af2d-6ddd8fd69d2d,Dita,Dream XLS,iems,"""Dita Dream XLS"" official product page",,
d4efa72e-3956-4227-834e-0f14eaa1acbf,Ultimate Ears,Reference Monitor (UERM),iems,"""Ultimate Ears Reference Monitor (UERM)"" official product page",,
93eab2c4-d508-4e6b-8ad6-7bc16a126013,ThieAudio,Clairvoyance,iems,"""ThieAudio Clairvoyance"" official product page",,
1ba8ff89-d7f5-428f-85bf-eb7110334ddd,FAudio,Minor,iems,"""FAudio Minor"" official product page",,
fd8daf38-e882-4ee4-a861-f82a2b6a463b,HarmonicDyne,Helios,cans,"""HarmonicDyne Helios"" official product page",,
4852ab6c-19ea-4eab-a760-c1370ebb3cbf,Kumitate,KL-Sirius,iems,"""Kumitate KL-Sirius"" official product page",,
05f5dcea-4c93-487b-b781-6debc44d8ca5,Moondrop,S8,iems,"""Moondrop S8"" site:moondroplab.com",,
3d0df0e5-28be-4ae2-a38b-21d432c77d47,Drop x JVC,HA-FDX1,iems,"""Drop x JVC HA-FDX1"" official product page",,
17e2db1d-42cc-4fe4-8681-33737c673601,Kiwi Ears,Orchestra,iems,"""Kiwi Ears Orchestra"" official product page",,
e24eb7cb-d829-47dd-9aff-f0b1a808376a,Massdrop x Noble,Kaiser 10,iems,"""Massdrop x Noble Kaiser 10"" official product page",,
45f062c1-71dc-4e84-a28a-2d60848d1fee,JVC,HA-FD02,iems,"""JVC HA-FD02"" official product page",,
726bfcc5-38f7-4115-acff-d7fc4c201f32,Kennerton,Thror,cans,"""Kennerton Thror"" official product page",,
b2ba8acb-5b21-4e09-9cee-07a1d010ceb0,64 Audio,A/U12t,iems,"""64 Audio A/U12t"" site:64audio.com",,
458c49f0-27e7-4203-881a-c8a7dae08195,Sendy,Aiva,cans,"""Sendy Aiva"" official product page",,
ffee820a-acfc-4b4b-ad4f-36c2100f8b72,Vision Ears,Erlkonig,iems,"""Vision Ears Erlkonig"" official product page",,
f1292f73-306b-4d1e-a983-626da308c035,Hifiman,HE6se,cans,"""Hifiman HE6se"" site:hifiman.com",,
9a38f7b1-ab80-438f-9e90-8ff0ea82a3f2,Sony,Z1R,iems,"""Sony Z1R"" site:sony.com",,
18edc7dc-a3fb-4edb-8579-36b9c7740937,LETSHUOER,MYSTIC 8,iems,"""LETSHUOER MYSTIC 8"" site:linsoul.com",,
23e8d13f-ea8b-4b31-bc7d-cd38257606db,Moondrop,A8,iems,"""Moondrop A8"" site:moondroplab.com",,
ad63b238-c4e5-4af1-bb2d-0f3272713fe6,Sony,IER-Z1R,iems,"""Sony IER-Z1R"" site:sony.com",,
e0bac7ad-0739-4414-8bc8-842685434f87,FiiO,FH5,iems,"""FiiO FH5"" site:fiio.com",,
94b7cc29-5ff3-4e70-af6c-18f23c97cd19,Lypertek,PurePlay Z3 2.0,cans,"""Lypertek PurePlay Z3 2.0"" official product page",,
69fc5f5d-793e-4d4c-979c-3d5045dbc574,DUNU,Titan S,iems,"""DUNU Titan S"" official product page",,
f1d27dcd-bc76-44e9-94ae-0c558e0de5eb,64 Audio,U12t,iems,"""64 Audio U12t"" site:64audio.com",,
